mean_left_elbow_angle,max_left_elbow_angle,std_left_elbow_angle,mean_right_elbow_angle,max_right_elbow_angle,std_right_elbow_angle,mean_left_wrist_x,max_left_wrist_x,std_left_wrist_x,mean_left_wrist_y,max_left_wrist_y,std_left_wrist_y,mean_right_wrist_x,max_right_wrist_x,std_right_wrist_x,mean_right_wrist_y,max_right_wrist_y,std_right_wrist_y,mean_left_wrist_above_head,max_left_wrist_above_head,std_left_wrist_above_head,mean_right_wrist_above_head,max_right_wrist_above_head,std_right_wrist_above_head,mean_one_hand_high,max_one_hand_high,std_one_hand_high,mean_hands_distance,max_hands_distance,std_hands_distance,mean_hands_x_diff,max_hands_x_diff,std_hands_x_diff,mean_hands_y_diff,max_hands_y_diff,std_hands_y_diff,mean_wrists_angle,max_wrists_angle,std_wrists_angle,mean_left_wrist_vs_shoulder,max_left_wrist_vs_shoulder,std_left_wrist_vs_shoulder,mean_right_wrist_vs_shoulder,max_right_wrist_vs_shoulder,std_right_wrist_vs_shoulder,mean_left_arm_length,max_left_arm_length,std_left_arm_length,mean_right_arm_length,max_right_arm_length,std_right_arm_length,mean_left_arm_angle,max_left_arm_angle,std_left_arm_angle,mean_right_arm_angle,max_right_arm_angle,std_right_arm_angle,mean_norm_left_wrist_x,max_norm_left_wrist_x,std_norm_left_wrist_x,mean_norm_left_wrist_y,max_norm_left_wrist_y,std_norm_left_wrist_y,mean_norm_right_wrist_x,max_norm_right_wrist_x,std_norm_right_wrist_x,mean_norm_right_wrist_y,max_norm_right_wrist_y,std_norm_right_wrist_y,mean_left_wrist_vs_head,max_left_wrist_vs_head,std_left_wrist_vs_head,mean_right_wrist_vs_head,max_right_wrist_vs_head,std_right_wrist_vs_head,mean_hands_height_diff,max_hands_height_diff,std_hands_height_diff,mean_left_arm_vertical_angle,max_left_arm_vertical_angle,std_left_arm_vertical_angle,mean_right_arm_vertical_angle,max_right_arm_vertical_angle,std_right_arm_vertical_angle,mean_lw_speed_y,max_lw_speed_y,std_lw_speed_y,mean_rw_speed_y,max_rw_speed_y,std_rw_speed_y,mean_lw_speed_x,max_lw_speed_x,std_lw_speed_x,mean_rw_speed_x,max_rw_speed_x,std_rw_speed_x,label,gesture,video
85.26362164333617,88.30176956117079,2.594016982290237,159.43780446188043,171.04739129130857,4.762880311530826,0.65279061794281,0.6559751033782959,0.002472984898806309,0.506816104054451,0.5166711211204529,0.0054656406252141035,0.6057885348796844,0.6098019480705261,0.0055759891312887645,0.5052870810031891,0.5160441398620605,0.004578878596853142,1.0,1,0.0,1.0,1,0.0,0.0,0,0.0,0.04737520824721374,0.06512582643455189,0.007147619427877795,0.04700208306312561,0.06365442276000977,0.006773957434058097,0.00525452196598053,0.013765454292297363,0.0036947877481586133,2.242586314640424,10.48916688411913,6.821282301237709,-0.09194114506244659,-0.08428418636322021,0.004436138804980217,-0.033919745683670045,-0.02510935068130493,0.003403584219160368,0.11816654435624101,0.12492584484985814,0.004309039455946697,0.15460835911834608,0.16800970873218604,0.004927639458201161,95.04958394648169,96.6071531040568,0.8594246157944678,70.72345292799831,72.15119101906632,0.9969584996847873,-1.1157609155114003,-1.0713205367047707,0.030522392139100612,-1.3823503052140151,-1.2635106327037995,0.05838591230044838,-2.267242751313825,-2.199436833181162,0.07290434761653357,-0.510459519760039,-0.37142210525845054,0.054442394994554555,0.04788684546947479,0.056226909160614014,0.004713728548400561,0.04941586852073669,0.05205196142196655,0.0026965646572696114,0.00525452196598053,0.013765454292297363,0.0036947877481586133,38.92747559286657,40.73506370588234,1.155529210228636,77.27903886474456,81.40489356649901,1.5788932762200016,0.0036365886529286704,0.014392435550689697,0.004284601923103007,0.001829173829820421,0.008233129978179932,0.002605163153910743,0.001348906093173557,0.002926945686340332,0.0010452475330680634,0.002954337331983778,0.015868961811065674,0.004975743886585228,0,tripping,IMG_0105.MOV
81.94314043638425,88.4681211089882,10.356167491478512,156.13430515987295,162.5095054857353,4.829690194982364,0.6532205462455749,0.6651402711868286,0.006430412006128445,0.5059054255485534,0.5250717997550964,0.00847216940216215,0.6136124789714813,0.6221704483032227,0.0058613714306051,0.4992767423391342,0.5024533271789551,0.0033179928827322953,1.0,1,0.0,1.0,1,0.0,0.0,0,0.0,0.0412142204883653,0.05267352176217221,0.006671111009751852,0.03960806727409363,0.04518425464630127,0.00503701210628728,0.007981219887733459,0.030169427394866943,0.009622434111613272,8.40386841998825,34.94310127084451,12.931590933528666,-0.08905850052833557,-0.06682854890823364,0.00985232140557152,-0.03613940179347992,-0.03351759910583496,0.0015755552993168163,0.11538329563830488,0.12492584484985814,0.01147037233501995,0.14745824555392822,0.1534708199332037,0.005544017270338241,95.47147834042701,98.42126641334278,1.1283576543305633,71.09002231160972,72.15119101906632,0.7542546120995127,-1.0993143203053182,-0.9213626102296032,0.08632331986340329,-1.3350244967168259,-1.0043810342613635,0.14118485268738315,-2.1437619641541423,-2.0230063653107044,0.09010321556141596,-0.5422050457215651,-0.49807661454482216,0.02789869976987812,0.04505700469017029,0.05363461375236511,0.009793352790233724,0.051685687899589536,0.05363959074020386,0.0013361284006066447,0.007981219887733459,0.030169427394866943,0.009622434111613272,39.55018584390272,42.53220751857914,1.143234236101216,75.777670423852,77.38517261454908,1.089374347538266,0.004621094465255738,0.024163424968719482,0.007419128243551366,0.0011971652507781982,0.003184795379638672,0.0012318676839388487,0.002886343002319336,0.012178421020507812,0.003615697703211394,0.00222664475440979,0.0053206682205200195,0.001906950919184875,0,tripping,IMG_0105.MOV
76.64123835161828,88.4681211089882,9.192433360166888,151.5428971982173,159.31371713022608,3.4760698072598335,0.658347076177597,0.6651402711868286,0.006840691301083477,0.5009638607501984,0.5250717997550964,0.011576589622833559,0.6141724288463593,0.6221704483032227,0.007440085981404216,0.49633768796920774,0.5007421374320984,0.002208319838987014,1.0,1,0.0,1.0,1,0.0,0.0,0,0.0,0.04595591628012632,0.05988909311886982,0.010340069118799098,0.04417464733123779,0.0590861439704895,0.009990501283807102,0.009300649166107178,0.030169427394866943,0.009454036264859283,6.596250262825208,34.94310127084451,14.831504517515748,-0.09028996825218201,-0.06682854890823364,0.010921807968878632,-0.03555423617362976,-0.031056076288223267,0.0025275054437155896,0.11352036103241907,0.12471182402058781,0.01107404675320553,0.14563545931441008,0.15442806550897412,0.0057057149604160745,94.58278930030401,98.42126641334278,1.9100116761309738,71.48185007109592,72.96160211509566,0.904382708084275,-1.0406313971466379,-0.9213626102296032,0.08401693948718546,-1.3725743805207231,-1.0043810342613635,0.17650404218305182,-2.145932998783491,-2.0230063653107044,0.13262477407779288,-0.5396682759488854,-0.4912757784747116,0.03275056416292948,0.04490147233009338,0.052989423274993896,0.009905928389310651,0.049527645111083984,0.05363959074020386,0.004172211016147349,0.009300649166107178,0.030169427394866943,0.009454036264859283,37.35628172263292,42.53220751857914,3.1317764749789947,75.81071135384306,78.36373667879556,1.548305137452869,0.0063152223825454715,0.024163424968719482,0.0075392964527212355,0.0012616664171218872,0.003482818603515625,0.0012954925032464908,0.0023523032665252685,0.012178421020507812,0.003849213441853435,0.003532177209854126,0.007566988468170166,0.0025347604959970508,0,tripping,IMG_0105.MOV
75.15901516458393,77.49966218422387,1.5437110975494404,154.62672925114643,162.93001244557507,5.778077248821845,0.6622927725315094,0.6662530899047852,0.0015496220777468314,0.48713470697402955,0.504172146320343,0.008870133913833915,0.6056925833225251,0.6206820607185364,0.00763360168688451,0.49677129089832306,0.49891477823257446,0.0018405088765432228,1.0,1,0.0,1.0,1,0.0,0.0,0,0.0,0.05807001272709379,0.07523000686053807,0.009403318832877787,0.056600189208984374,0.0717572569847107,0.008411733867858142,0.011705687642097473,0.022593140602111816,0.0072587465267637576,-8.352132039836182,13.175671844294524,9.741178631199622,-0.09674535989761353,-0.08659613132476807,0.0038755811091558128,-0.03081381618976593,-0.02429485321044922,0.0047187066769032995,0.11686560118420337,0.12078649651758724,0.0038998296329707228,0.15171480670554022,0.16204507072629643,0.006383757154137535,94.77762497532667,98.7151464182781,2.3315764665954264,70.53392197496439,72.96160211509566,2.9205332268482285,-1.055291958381064,-0.9774718933257275,0.0524232440392718,-1.560366741062531,-1.3246882988364526,0.11519966276182513,-2.398246155058082,-2.061116380966399,0.24520969233191064,-0.49327466636289496,-0.4248508427062564,0.051946569916541924,0.049777114391326906,0.052989423274993896,0.003296962255440693,0.040140530467033385,0.05137023329734802,0.008489842868434159,0.011705687642097473,0.022593140602111816,0.0072587465267637576,34.119271413924835,36.423900662976166,1.2235230883915909,78.19267428751036,81.15239063847012,2.3045848781629337,0.004175788164138794,0.011069297790527344,0.003407821150003491,0.0013198256492614746,0.003482818603515625,0.0012813479235033746,0.0007570564746856689,0.002906501293182373,0.000921624438148176,0.003662985563278198,0.007566988468170166,0.0022623352177496255,0,tripping,IMG_0105.MOV
70.36418446172326,76.07229485561403,5.143180336934009,156.91459985955277,162.93001244557507,5.2293896793342505,0.6686783730983734,0.6828314065933228,0.00776818864310614,0.47529253661632537,0.48528510332107544,0.006957091950336969,0.5980273962020874,0.6067901253700256,0.004932670634222904,0.4936221241950989,0.49891477823257446,0.0045257220425880965,1.0,1,0.0,1.0,1,0.0,0.0,0,0.0,0.07303598422354514,0.0912361301297681,0.012037201366491413,0.07065097689628601,0.08838456869125366,0.01168626737014968,0.0183295875787735,0.022631824016571045,0.003974014037919199,-14.515059592228988,-10.70793212158118,2.251313513583027,-0.09546727836132049,-0.09256395697593689,0.0027008485055130048,-0.025685608386993408,-0.01989877223968506,0.003190650554918755,0.1131778367020014,0.12054672222293719,0.005177274364951208,0.15819335033193735,0.1626809682792586,0.004811638594404682,96.91555351589692,99.7726393936263,2.1253669405494673,68.58948660952126,72.57884283967691,2.883565657304692,-1.0595562890970205,-0.9320094728382444,0.0606963911435541,-1.672866460459526,-1.5893123106037899,0.05701721664665773,-2.742095876911525,-2.342423752345935,0.2354470581973662,-0.4484027769372207,-0.37146012992447364,0.03839555691021434,0.0452813595533371,0.052959322929382324,0.0061833229446039625,0.0269517719745636,0.042599111795425415,0.008919128298542385,0.0183295875787735,0.022631824016571045,0.003974014037919199,32.3588232625888,34.6146819443405,2.100788255722442,80.62728524485792,82.77911846014386,1.3879208160034278,0.0026621341705322264,0.004364371299743652,0.0012746771656726823,0.0017523080110549926,0.0028166770935058594,0.0009686310600416642,0.002258723974227905,0.006511092185974121,0.0021023377749280836,0.001972043514251709,0.004240572452545166,0.0016159891480369295,0,tripping,IMG_0105.MOV
62.68307519256864,71.50008811698832,5.029594208582397,153.5824725585841,161.16354945032967,8.742635369123494,0.6792659223079681,0.6851711869239807,0.006922754406044754,0.4641131043434143,0.4747042953968048,0.00725104954660588,0.5927323043346405,0.5954493284225464,0.00245895153566895,0.4859419375658035,0.4934872090816498,0.005345982895091363,1.0,1,0.0,0.8,1,0.4216370213557839,0.2,1,0.42163702135578396,0.08926223263674786,0.09838820427818983,0.009031397233008366,0.08653361797332763,0.09534567594528198,0.008636874869058982,0.02182883322238922,0.026843369007110596,0.0032411677458643057,-14.12705316420734,-12.031046869213885,1.189670528679293,-0.09102488756179809,-0.08577859401702881,0.002958064015678458,-0.018945348262786866,-0.009943991899490356,0.0060475523971374266,0.10565805957057059,0.11224532967731453,0.004299001019041748,0.15779617079159233,0.1626809682792586,0.00445145933866143,92.13061121666429,99.7726393936263,6.144751305618084,74.40067653416936,84.13974880935746,7.084202157072621,-1.0020615793195806,-0.9320094728382444,0.053125714842327386,-1.7047777975125442,-1.637888661809987,0.04024383815836239,-2.93303861383944,-2.7716392610919915,0.0786845961118845,-0.35234583930994584,-0.18903423431853836,0.10338786956664542,0.0328434556722641,0.04404613375663757,0.008548114083210842,0.011014622449874879,0.025263220071792603,0.010612674572192515,0.02182883322238922,0.026843369007110596,0.0032411677458643057,30.444527922692355,32.99442073445523,1.5785034366533914,83.14305610841812,86.24914589721739,2.047185959437188,0.0020859360694885252,0.004364371299743652,0.0010215955960136455,0.0021665602922439574,0.006038635969161987,0.0018490944234117086,0.0021307885646820067,0.006511092185974121,0.0020889437109539574,0.0009992361068725587,0.005140423774719238,0.0014870063182308958,0,tripping,IMG_0105.MOV
55.759974371819226,61.95535262510117,4.065777383087844,116.03987799865618,160.29863768798532,49.28812229298857,0.6771559059619904,0.6851711869239807,0.009951927172930244,0.4552632659673691,0.46178266406059265,0.0035203561568696233,0.6023146271705627,0.6275664567947388,0.015855509712718263,0.47065269351005556,0.486359179019928,0.014185547123208273,1.0,1,0.0,0.7,1,0.4830458915396479,0.3,1,0.4830458915396479,0.07678179751614919,0.09838820427818983,0.026546628307521653,0.07484127879142762,0.09534567594528198,0.02519993730908643,0.016121700406074524,0.026843369007110596,0.01038354282269991,-9.917935077445348,3.349876628809204,6.945181115132076,-0.08618538677692414,-0.081358402967453,0.003556266405892498,-0.018583816289901734,-0.009943991899490356,0.007645302788265404,0.10090122531255583,0.1055631166156069,0.0026259815995293874,0.1368924647015103,0.158110960957682,0.02277671375922554,86.01233624205855,90.78554045523194,3.4262496583712743,82.46027996687896,90.42645341787627,3.9356949798629066,-0.9879831249000526,-0.9000275153086243,0.0541807369223851,-1.6290378307598417,-1.4952101875719868,0.0946572493228518,-2.5628123290227656,-1.8025774977418165,0.5038251100425842,-0.34827636988590677,-0.18903423431853836,0.13446033679895525,0.019805946946144105,0.03367769718170166,0.007824078623236704,0.004416519403457641,0.019414812326431274,0.007433431078835562,0.016121700406074524,0.026843369007110596,0.01038354282269991,31.2825232873653,35.167683782148515,2.3007759984072655,81.49516356429871,86.24914589721739,4.879216902795734,0.0015652626752853394,0.0026793181896209717,0.000908326182396125,0.006116333603858948,0.026115357875823975,0.007674370152693432,0.0027972042560577394,0.010389566421508789,0.003547562601244698,0.007729494571685791,0.03154730796813965,0.010756478498011068,0,tripping,IMG_0105.MOV
48.62807161648435,61.341250429969094,10.968139843433569,59.59988639443286,153.07957605321607,36.8779212059136,0.6479562997817994,0.6830988526344299,0.031382682883194374,0.46104087829589846,0.48917585611343384,0.015456546371355647,0.6212329089641571,0.6465378999710083,0.016324978730745888,0.45299583971500396,0.47611692547798157,0.009535689051974376,0.6,1,0.5163977794943222,0.9,1,0.31622776601683794,0.5,1,0.5270462766947299,0.04346234366666348,0.09610819894093639,0.024302156448846812,0.034391778707504275,0.09322577714920044,0.028647922437729876,0.015509751439094544,0.044655948877334595,0.016948638027554513,44.79470399198883,172.25024772927125,65.94772153033998,-0.07241260409355163,-0.041992783546447754,0.01703626523243061,-0.027723780274391173,-0.010852545499801636,0.007094382548853441,0.09771109674471076,0.11918777882032892,0.012504257358851798,0.09870232920638831,0.14927163823089942,0.02569319884551363,85.61777051452687,90.40751855249499,3.560028601900142,87.19364681056321,93.80162431483816,4.254699607462068,-1.2023508584965046,-0.9000275153086243,0.32224505514919133,-1.3682660560954536,-0.78606104901079,0.3243562102504653,-1.7685408659806174,-1.294587429730521,0.5185433403914151,-0.5234031733833058,-0.20791795753518205,0.13571425613151425,0.0008322298526763916,0.017869681119918823,0.01778524861734093,0.008877268433570862,0.019414812326431274,0.007780350731241347,0.015509751439094544,0.044655948877334595,0.016948638027554513,41.58412028670408,57.123322469055374,11.1521945071808,71.91097503113768,85.8307554011417,7.301189928829141,0.008140018582344056,0.03820556402206421,0.012997368830516333,0.006650438904762268,0.026115357875823975,0.007558699200180704,0.010050064325332642,0.02728325128555298,0.00910404043837094,0.013334006071090698,0.03154730796813965,0.009617311279751132,0,tripping,IMG_0105.MOV
45.20050772558921,61.341250429969094,11.415876869844983,60.93332284687451,106.65807764359528,25.17178028852501,0.58586865067482,0.656160831451416,0.05039142800500334,0.4750528037548065,0.5037215352058411,0.016774994913769235,0.5738948792219162,0.6465378999710083,0.06501965640522415,0.44063617289066315,0.449396014213562,0.007680428428449936,0.1,1,0.31622776601683794,0.9,1,0.31622776601683794,0.8,1,0.4216370213557839,0.04186250337549065,0.08657621256390288,0.021435636192746674,0.019642159342765808,0.04344302415847778,0.013199181277775276,0.03441663086414337,0.07488754391670227,0.022082964437257303,77.7673599266147,172.25024772927125,43.71606784622241,-0.048588627576828004,-0.011491537094116211,0.02100820408122681,-0.03588517606258392,-0.030913174152374268,0.004311700093987983,0.09788646775880094,0.11918777882032892,0.014596756693677127,0.0963215814015018,0.14517817943148248,0.023542492798210485,85.72378057900538,93.7184244295529,5.341982100777099,97.27588808068582,113.03863443530521,8.796035819887166,-1.775223963866275,-1.0863342782495318,0.5521291226804955,-1.0085153031480725,-0.2391030507210943,0.39822168538067776,-1.9370608554978515,-1.294587429730521,0.7951889778410752,-0.7654553535871772,-0.589006314822951,0.1766272318344386,-0.02817409932613373,0.010517418384552002,0.02320221831092476,0.006242531538009644,0.01607099175453186,0.006978346164606823,0.03441663086414337,0.07488754391670227,0.022082964437257303,59.83655119387544,82.11849484959727,12.890757747460734,67.47027463669565,74.70579771824598,3.010166594805277,0.01630738079547882,0.03820556402206421,0.014119860285529336,0.004062935709953308,0.009177595376968384,0.002983189148697732,0.01577260494232178,0.035555899143218994,0.011106819203434438,0.020840004086494446,0.038545966148376465,0.010899586058908707,0,tripping,IMG_0105.MOV
79.42769421691267,161.02960147504575,46.87555488690831,85.41561980603221,140.15761947404957,34.01371367324964,0.45541286319494245,0.582651674747467,0.12573470009066312,0.46817017197608946,0.5037215352058411,0.02365045923301229,0.4804842621088028,0.5694175958633423,0.05715054768371911,0.4355951428413391,0.4466068148612976,0.006817870658227835,0.0,0,0.0,0.4,1,0.5163977794943223,0.4,1,0.5163977794943223,0.08762196092151969,0.2770144348877148,0.07120833773889582,0.06997442096471787,0.2768411487340927,0.07896234068253431,0.0385043203830719,0.07488754391670227,0.016687462490922986,55.75236227560731,177.97329283397454,91.15762629252002,-0.03265578746795654,0.007383972406387329,0.021996996841716594,-0.01965717077255249,0.030501246452331543,0.028326340970009783,0.13779886906544075,0.28213029845393517,0.06391866296756805,0.10438959008572861,0.14517817943148248,0.03611937320982084,87.46915631913153,100.02127141498023,9.771204281110329,97.66901230296064,113.03863443530521,14.57480169828083,-2.722827598785801,-1.7271969688780449,1.0384161293789567,-0.7185550290476388,0.13637811394627072,0.4777775424017969,-2.163710639168031,-0.12496545248673954,1.0482056214967852,-0.474502472198232,0.5124352115650322,0.5976264662013329,-0.044979310035705565,-0.004566073417663574,0.02142557075184019,-0.0124042809009552,0.005481123924255371,0.01949277337572288,0.0385043203830719,0.07488754391670227,0.016687462490922986,74.29066813487806,92.82319356664526,10.169428290469945,87.45363903377304,166.28753593095723,31.338630407155534,0.021122732758522035,0.05460307002067566,0.019078329014210613,0.005361053347587586,0.011512964963912964,0.0030878117622354265,0.05161842107772827,0.17602160573005676,0.06063797421449759,0.037930029630661014,0.11436969041824341,0.02828685908133173,0,tripping,IMG_0105.MOV
